timestamp,protocol,src_ip,dst_ip,dst_port
2025-10-29T00:24:49.814878,TCP,162.159.135.234,10.0.3.213,51114
2025-10-29T00:24:49.864620,TCP,10.0.3.213,162.159.135.234,443
2025-10-29T00:24:50.537660,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:50.584278,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:50.645003,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:50.849074,UDP,10.0.3.213,239.255.255.250,1900
2025-10-29T00:24:51.423436,UDP,10.0.3.213,239.255.255.250,1900
2025-10-29T00:24:51.455256,UDP,10.0.3.213,239.255.255.250,1900
2025-10-29T00:24:51.631173,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:51.633154,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.047367,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.049366,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.312135,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.530267,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.577255,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.640512,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.642511,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.646509,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.647511,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.651510,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.652520,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.843477,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:52.845478,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:53.859670,UDP,10.0.3.213,239.255.255.250,1900
2025-10-29T00:24:54.643583,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:54.646582,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:56.146037,UDP,10.0.3.213,1.1.1.1,53
2025-10-29T00:24:56.165038,UDP,1.1.1.1,10.0.3.213,55276
2025-10-29T00:24:56.656414,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:56.660382,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:56.663381,UDP,10.0.3.213,224.0.0.251,5353
2025-10-29T00:24:56.872957,UDP,10.0.3.213,239.255.255.250,1900
2025-10-29T00:24:59.881082,UDP,10.0.3.213,1.1.1.1,53
2025-10-29T00:24:59.900088,UDP,1.1.1.1,10.0.3.213,55276
2025-10-29T00:24:59.901084,TCP,10.0.3.213,52.168.112.67,443
2025-10-29T00:25:00.144909,TCP,52.168.112.67,10.0.3.213,49613
2025-10-29T00:25:00.145909,TCP,10.0.3.213,52.168.112.67,443
2025-10-29T00:25:00.146945,TCP,10.0.3.213,52.168.112.67,443
2025-10-29T00:25:00.270039,TCP,52.168.112.67,10.0.3.213,49613
2025-10-29T00:25:00.476728,TCP,52.168.112.67,10.0.3.213,49613
2025-10-29T00:25:00.477728,TCP,10.0.3.213,52.168.112.67,443
2025-10-29T00:25:00.721268,TCP,52.168.112.67,10.0.3.213,49613
2025-10-29T00:25:00.722228,TCP,52.168.112.67,10.0.3.213,49613
2025-10-29T00:25:00.723229,TCP,52.168.112.67,10.0.3.213,49613
2025-10-29T00:25:00.724237,TCP,10.0.3.213,52.168.112.67,443
2025-10-29T00:25:00.725240,TCP,52.168.112.67,10.0.3.213,49613
2025-10-29T00:25:00.726235,TCP,10.0.3.213,52.168.112.67,443
